id,snapshot_time,coin,bid_volume,ask_volume,book_imbalance,best_bid,best_ask,spread_avg,buy_aggressor_vol,sell_aggressor_vol,net_aggressor_flow,num_trades,total_volume,whale_buy_vol,whale_sell_vol,whale_net_flow,whale_trade_count,large_trade_count,book_updates
835,2026-02-17T03:41:00,HYPE,2413.37,4341.66,0.399596,30.872,30.873,0.001865,2412.93,292.76,2120.17,160,2705.69,1663.83,655.37,1008.46,104,0,111
836,2026-02-17T03:41:00,BTC,55.34,45.37,0.332258,68499.0,68500.0,1.027027,1.07,7.24,-6.17,88,8.3,0.56,3.86,-3.29,26,4,111
837,2026-02-17T03:42:00,HYPE,3181.79,4494.3,0.414257,30.886,30.887,0.002174,2890.92,408.65,2482.27,141,3299.57,2026.02,455.13,1570.89,70,0,109
838,2026-02-17T03:42:00,BTC,62.06,36.09,0.458496,68510.0,68511.0,1.018349,1.8,3.81,-2.01,127,5.61,0.56,0.01,0.56,12,2,109
839,2026-02-17T03:43:00,HYPE,4540.61,2952.47,0.393627,30.907,30.908,0.00162,1688.74,549.65,1139.09,125,2238.39,1435.39,80.44,1354.95,48,0,108
840,2026-02-17T03:43:00,BTC,52.28,23.19,0.477939,68544.0,68545.0,1.148148,9.05,2.51,6.55,163,11.56,0.56,0.01,0.56,15,3,108
841,2026-02-17T03:44:00,HYPE,2517.45,5038.35,0.379348,30.91,30.911,0.001722,1344.05,196.84,1147.21,74,1540.89,1308.15,293.98,1014.17,42,0,108
842,2026-02-17T03:44:00,BTC,60.32,32.74,0.49608,68523.0,68524.0,1.25,10.69,5.21,5.48,113,15.9,0.56,0.01,0.56,22,7,108
843,2026-02-17T03:45:00,HYPE,2343.57,4205.19,0.387775,30.903,30.904,0.0017,1631.96,251.44,1380.52,128,1883.4,1602.13,277.69,1324.44,79,0,110
844,2026-02-17T03:45:00,BTC,62.77,44.53,0.537634,68529.0,68530.0,1.009091,1.11,1.92,-0.81,73,3.03,0.56,0.01,0.56,23,1,110
845,2026-02-17T03:46:00,HYPE,2825.33,4322.16,0.403751,30.866,30.87,0.002245,1517.26,639.46,877.8,152,2156.72,1457.36,258.87,1198.49,66,0,110
846,2026-02-17T03:46:00,BTC,25.96,81.56,0.394932,68542.0,68543.0,1.127273,2.46,6.78,-4.31,120,9.24,0.56,0.01,0.56,17,4,110
847,2026-02-17T03:47:00,HYPE,3015.07,4503.66,0.437651,30.859,30.86,0.002648,1458.09,396.59,1061.5,113,1854.68,1518.81,257.1,1261.71,53,0,108
848,2026-02-17T03:47:00,BTC,18.56,113.2,0.238712,68501.0,68502.0,1.064815,1.89,9.32,-7.43,111,11.21,0.56,0.01,0.56,15,6,108
849,2026-02-17T03:48:00,HYPE,2952.01,4237.89,0.420065,30.836,30.837,0.002667,1460.92,904.03,556.89,117,2364.95,1478.06,585.02,893.04,53,0,108
850,2026-02-17T03:48:00,BTC,47.16,47.9,0.357701,68501.0,68502.0,1.027778,1.53,6.08,-4.55,110,7.61,0.56,0.01,0.56,13,3,108
851,2026-02-17T03:49:00,HYPE,3523.72,3884.18,0.415083,30.872,30.877,0.002101,1456.25,380.96,1075.29,97,1837.21,1453.98,58.89,1395.09,57,0,109
852,2026-02-17T03:49:00,BTC,50.31,31.43,0.435942,68504.0,68505.0,1.0,3.31,0.2,3.11,59,3.52,0.5,0.01,0.49,10,1,109
853,2026-02-17T03:50:00,HYPE,2621.87,4222.18,0.360698,30.864,30.865,0.002241,1412.14,469.73,942.41,105,1881.87,1388.14,239.73,1148.41,41,0,108
854,2026-02-17T03:50:00,BTC,49.34,49.55,0.297985,68468.0,68469.0,1.055556,1.49,2.69,-1.2,111,4.18,0.5,0.01,0.49,11,1,108
855,2026-02-17T03:51:00,HYPE,3511.4,4094.96,0.43936,30.856,30.863,0.001691,1588.61,300.39,1288.22,72,1889.0,1361.99,1151.94,210.05,35,0,110
856,2026-02-17T03:51:00,BTC,41.9,52.26,0.537533,68517.0,68518.0,1.090909,3.8,0.15,3.65,108,3.95,0.5,0.01,0.49,11,2,110
857,2026-02-17T03:52:00,HYPE,3130.1,4073.53,0.412049,30.864,30.873,0.002514,905.37,264.91,640.46,69,1170.28,882.59,111.52,771.07,32,0,109
858,2026-02-17T03:52:00,BTC,33.96,75.8,0.457191,68529.0,68530.0,1.0,2.09,2.25,-0.16,83,4.35,0.7,0.01,0.69,13,1,109
859,2026-02-17T03:53:00,HYPE,6488.5,2109.59,0.406478,30.855,30.862,0.001373,423.99,286.43,137.56,55,710.42,405.66,12.25,393.41,28,0,110
860,2026-02-17T03:53:00,BTC,40.38,73.74,0.289305,68515.0,68516.0,1.0,1.42,5.53,-4.11,100,6.95,0.5,0.01,0.49,13,3,110
861,2026-02-17T03:54:00,HYPE,3818.95,3739.62,0.42421,30.844,30.848,0.001852,428.07,568.56,-140.49,61,996.63,391.53,0.0,391.53,20,0,108
862,2026-02-17T03:54:00,BTC,48.61,24.9,0.494135,68539.0,68540.0,1.0,0.68,1.68,-0.99,86,2.36,0.5,0.01,0.49,15,0,108
863,2026-02-17T03:55:00,HYPE,3551.8,4327.4,0.450257,30.851,30.852,0.002211,503.09,482.21,20.88,55,985.3,560.82,0.0,560.82,24,0,109
864,2026-02-17T03:55:00,BTC,60.97,29.37,0.477176,68541.0,68542.0,1.045872,5.71,2.63,3.08,88,8.34,0.5,0.01,0.49,14,3,109
865,2026-02-17T03:56:00,HYPE,3540.44,3783.82,0.425696,30.846,30.853,0.001991,588.8,182.05,406.75,49,770.85,555.25,27.35,527.9,29,0,112
866,2026-02-17T03:56:00,BTC,41.12,71.95,0.277494,68494.0,68495.0,1.080357,0.55,6.4,-5.85,100,6.96,0.5,0.01,0.49,12,4,112
867,2026-02-17T03:57:00,HYPE,3362.75,3983.14,0.43175,30.854,30.855,0.002393,457.18,149.87,307.31,49,607.05,407.55,0.0,407.55,20,0,107
868,2026-02-17T03:57:00,BTC,16.52,90.82,0.242332,68440.0,68441.0,1.158879,3.11,20.1,-16.98,232,23.21,1.03,0.17,0.87,22,12,107
869,2026-02-17T03:58:00,HYPE,2741.64,2861.99,0.429125,30.863,30.864,0.002899,446.9,69.61,377.29,35,516.51,389.55,90.64,298.91,19,0,109
870,2026-02-17T03:58:00,BTC,15.7,103.92,0.381296,68450.0,68451.0,1.055046,1.14,3.84,-2.7,124,4.98,0.54,0.01,0.53,21,1,109
871,2026-02-17T03:59:00,HYPE,3098.47,3486.91,0.447816,30.868,30.87,0.002,892.62,54.71,837.91,35,947.33,888.5,306.09,582.41,28,0,105
872,2026-02-17T03:59:00,BTC,47.91,55.44,0.530925,68470.0,68471.0,1.057143,2.13,0.16,1.97,75,2.29,0.54,0.01,0.53,20,1,105
873,2026-02-17T04:00:00,HYPE,3142.45,3586.21,0.456727,30.859,30.86,0.002248,258.6,12.11,246.49,27,270.71,222.11,27.02,195.09,20,0,105
874,2026-02-17T04:00:00,BTC,14.77,94.29,0.230339,68448.0,68449.0,1.0,1.14,1.92,-0.78,91,3.06,0.54,0.01,0.53,16,1,105
875,2026-02-17T04:01:00,HYPE,6474.95,3912.97,0.433587,30.881,30.883,0.002018,712.73,79.36,633.37,58,792.09,557.13,151.18,405.95,32,0,111
876,2026-02-17T04:01:00,BTC,45.08,60.98,0.295145,68450.0,68451.0,1.099099,3.11,12.84,-9.74,206,15.95,0.63,0.01,0.62,21,8,111
877,2026-02-17T04:02:00,HYPE,3097.28,3637.95,0.462054,30.909,30.91,0.001427,557.12,39.29,517.83,55,596.41,388.87,0.0,388.87,25,0,110
878,2026-02-17T04:02:00,BTC,44.22,68.22,0.450901,68482.0,68483.0,1.118182,6.06,0.24,5.82,113,6.31,0.54,0.01,0.53,12,2,110
879,2026-02-17T04:03:00,HYPE,2712.51,2947.87,0.39931,30.89,30.891,0.001798,413.97,237.13,176.84,62,651.1,388.87,0.0,388.87,19,0,109
880,2026-02-17T04:03:00,BTC,129.81,18.9,0.294095,68465.0,68466.0,1.027523,0.77,3.43,-2.66,82,4.2,0.54,0.01,0.53,16,2,109
881,2026-02-17T04:04:00,HYPE,1831.94,3464.91,0.422399,30.901,30.902,0.001853,1905.26,182.15,1723.11,80,2087.41,444.0,386.75,57.25,30,0,109
882,2026-02-17T04:04:00,BTC,16.93,108.9,0.32003,68480.0,68481.0,1.110092,0.96,5.97,-5.01,107,6.93,0.54,0.01,0.53,27,4,109
883,2026-02-17T04:05:00,HYPE,2801.42,4551.65,0.439661,30.886,30.892,0.001815,423.05,76.97,346.08,50,500.02,388.55,6.98,381.57,29,0,108
884,2026-02-17T04:05:00,BTC,36.34,62.06,0.271356,68491.0,68492.0,1.018519,1.15,1.16,-0.01,68,2.31,0.54,0.02,0.52,15,0,108
885,2026-02-17T04:06:00,HYPE,2307.77,4080.34,0.396547,30.895,30.898,0.00175,395.5,612.09,-216.59,51,1007.59,405.82,0.0,405.82,19,0,108
886,2026-02-17T04:06:00,BTC,42.17,69.89,0.264966,68477.0,68478.0,1.046296,1.11,11.25,-10.14,115,12.36,2.27,0.23,2.04,26,7,108
887,2026-02-17T04:07:00,HYPE,2434.69,4299.78,0.443089,30.917,30.921,0.001602,424.52,125.3,299.22,40,549.82,389.54,0.0,389.54,23,0,108
888,2026-02-17T04:07:00,BTC,26.0,83.96,0.269945,68476.0,68477.0,1.046296,4.18,6.05,-1.87,95,10.23,0.54,0.01,0.53,20,5,108
889,2026-02-17T04:08:00,HYPE,2482.33,4493.99,0.454534,30.857,30.859,0.002709,3782.37,1107.61,2674.76,126,4889.98,516.25,556.75,-40.5,30,0,110
890,2026-02-17T04:08:00,BTC,13.8,88.94,0.277759,68382.0,68383.0,1.127273,5.3,12.26,-6.96,329,17.56,0.54,0.01,0.53,14,12,110
891,2026-02-17T04:09:00,HYPE,2405.63,4457.98,0.453695,30.862,30.871,0.001849,582.81,504.54,78.27,71,1087.35,413.48,0.0,413.48,20,0,106
892,2026-02-17T04:09:00,BTC,44.35,46.2,0.491586,68418.0,68419.0,1.018868,9.94,4.09,5.84,143,14.03,0.54,0.01,0.53,15,5,106
893,2026-02-17T04:10:00,HYPE,2310.64,4479.82,0.472076,30.901,30.907,0.001981,400.03,66.87,333.16,44,466.9,389.54,33.91,355.63,27,0,108
894,2026-02-17T04:10:00,BTC,32.51,41.53,0.472134,68460.0,68461.0,1.064815,9.62,0.29,9.33,121,9.9,0.54,0.17,0.37,40,4,108
895,2026-02-17T04:11:00,HYPE,2290.36,3747.34,0.430049,30.901,30.902,0.00164,517.65,118.49,399.16,43,636.14,388.12,92.81,295.31,28,0,111
