id,snapshot_time,coin,mark_px,oracle_px,prev_day_px,funding_8h,open_interest,open_interest_usd,day_ntl_vlm,premium
10657605,2026-02-13T10:55:01.433073,HYPE,30.386,30.408,30.742,8.168e-07,23638569.32,718281567.35752,265059693.18095,-0.0005787951
10657796,2026-02-13T10:56:01.563461,HYPE,30.417,30.438,30.742,7.419e-07,23636886.08,718963163.89536,265157211.83062,-0.0005585124
10657987,2026-02-13T10:57:01.761840,HYPE,30.39,30.41,30.742,6.74e-08,23632054.02,718178121.6678,265262877.26133,-0.0006576784
10658178,2026-02-13T10:58:01.595333,HYPE,30.334,30.353,30.742,-6.941e-07,23629756.12,716785022.14408,265347987.12296,-0.000365697
10658369,2026-02-13T10:59:02.401259,HYPE,30.346,30.371,30.742,-1.1573e-06,23629536.26,717061907.34596,265369395.39571,-0.0008560798
10658560,2026-02-13T11:00:01.346712,HYPE,30.349,30.375,30.742,-4.03807e-05,23627835.38,717081175.94762,265412796.18502,-0.0008888889
10658751,2026-02-13T11:01:01.317292,HYPE,30.326,30.35,30.742,-3.66616e-05,23626698.18,716503249.00668,265477014.97251,-0.0008401977
10658942,2026-02-13T11:02:02.022693,HYPE,30.303,30.326,30.742,-3.3128e-05,23625874.42,715934872.54926,265521849.8537,-0.0008012926
10659133,2026-02-13T11:03:01.318950,HYPE,30.258,30.281,30.742,-3.27758e-05,23622246.48,714761933.991841,265681942.34615,-0.0006935042
10659324,2026-02-13T11:04:01.364974,HYPE,30.293,30.314,30.742,-2.41852e-05,23620826.04,715545683.229721,265725464.3296,-5.27809e-05
10659515,2026-02-13T11:05:01.343913,HYPE,30.279,30.297,30.744,-2.0187e-05,23620608.76,715208412.64404,264135165.48979,-0.0005182031
10659706,2026-02-13T11:06:01.384485,HYPE,30.265,30.279,30.744,-1.78304e-05,23620430.92,714872341.7938,264150845.30064,-0.0004293405
10659897,2026-02-13T11:07:01.322695,HYPE,30.311,30.328,30.744,-1.3586e-05,23619711.3,715937069.2143,264168595.52027,-0.0001945397
10660088,2026-02-13T11:08:02.343233,HYPE,30.356,30.372,30.744,-9.2885e-06,23619370.9,716989623.040401,264203502.94007,-0.0004576584
10660279,2026-02-13T11:09:01.572126,HYPE,30.32,30.337,30.744,-7.6993e-06,23618928.66,716125916.9712,264252585.16381,-0.000659261
10660470,2026-02-13T11:10:01.322192,HYPE,30.305,30.321,30.744,-6.3748e-06,23618430.46,715756535.0903,264272177.26425,-0.0005606675
10660661,2026-02-13T11:11:01.395422,HYPE,30.33,30.346,30.744,-4.5584e-06,23618245.2,716341376.916,264292626.42045,-0.0004415738
10660852,2026-02-13T11:12:01.566062,HYPE,30.371,30.385,30.744,-1.3644e-06,23618135.64,717306397.52244,264313110.17451,-0.0005594866
10661043,2026-02-13T11:13:01.683541,HYPE,30.402,30.415,30.744,1.2591e-06,23616030.82,717974568.98964,264379829.7196,-0.0003616637
10661234,2026-02-13T11:14:01.461347,HYPE,30.38,30.391,30.744,2.1528e-06,23611688.24,717323088.7312,264486137.71425,0.0
10661425,2026-02-13T11:15:01.228404,HYPE,30.381,30.387,30.744,3.5435e-06,23610589.84,717313329.92904,264524562.28047,0.0
10661616,2026-02-13T11:16:01.559222,HYPE,30.386,30.398,30.744,5.3064e-06,23610428.1,717426468.2466,264543832.39439,-0.0002598855
10661807,2026-02-13T11:17:02.958623,HYPE,30.478,30.486,30.744,8.1948e-06,23623396.58,719993880.965241,265268746.16416,-0.000321459
10661998,2026-02-13T11:18:01.399509,HYPE,30.459,30.467,30.744,9.729e-06,23620361.6,719452593.9744,265323823.8589,-0.0010831391
10662189,2026-02-13T11:19:02.965645,HYPE,30.43,30.439,30.744,1.05189e-05,23624330.32,718888371.6376,265486555.51073,0.0
10662380,2026-02-13T11:20:01.623562,HYPE,30.463,30.474,30.77,1.18562e-05,23623674.4,719647993.2472,263118675.28662,-0.0004200302
10662571,2026-02-13T11:21:01.330090,HYPE,30.435,30.447,30.77,1.22303e-05,23622857.92,718961680.7952,263137313.13031,-0.0006174664
10662762,2026-02-13T11:22:01.328960,HYPE,30.416,30.431,30.77,1.25e-05,23621643.9,718475920.8624,263165902.62182,-0.0003680457
10662953,2026-02-13T11:23:01.463855,HYPE,30.409,30.422,30.77,1.25e-05,23621223.3,718297779.3297,263173158.68988,-0.0005916771
10663144,2026-02-13T11:24:01.184248,HYPE,30.354,30.369,30.77,1.19603e-05,23623605.66,717070926.203641,263320154.37835,-0.000645395
10663335,2026-02-13T11:25:02.655491,HYPE,30.372,30.389,30.77,1.17461e-05,23620515.42,717402294.33624,263421233.45424,-0.0003191944
10663526,2026-02-13T11:26:01.330426,HYPE,30.408,30.424,30.77,1.19782e-05,23620485.22,718251714.56976,263428880.85534,-0.0003878517
10663717,2026-02-13T11:27:01.274887,HYPE,30.395,30.409,30.77,1.17457e-05,23619265.04,717907560.8908,263456212.49065,-0.0003913315
10663908,2026-02-13T11:28:01.921881,HYPE,30.411,30.423,30.77,1.23021e-05,23619258.52,718285270.85172,263464434.43428,-0.0003286987
10664099,2026-02-13T11:29:01.376367,HYPE,30.43,30.442,30.77,1.25e-05,23618798.94,718720051.7442,263481461.06748,-8.54083e-05
10664290,2026-02-13T11:30:01.733670,HYPE,30.404,30.416,30.77,1.25e-05,23617921.82,718079295.01528,263507778.57736,-0.0004142557
10664481,2026-02-13T11:31:01.316019,HYPE,30.437,30.455,30.77,1.25e-05,23617684.78,718851471.64886,263518401.52158,-0.0005582006
10664672,2026-02-13T11:32:01.255546,HYPE,30.42,30.435,30.77,1.25e-05,23617337.86,718439417.7012,263540119.00708,-0.0002004271
10664863,2026-02-13T11:33:01.292072,HYPE,30.451,30.465,30.77,1.25e-05,23617050.9,719162816.9559,263555436.94176,-0.0005251928
10665054,2026-02-13T11:34:02.439593,HYPE,30.512,30.526,30.77,1.25e-05,23616413.32,720584003.219841,263593152.84822,-0.000347245
10665245,2026-02-13T11:35:02.831552,HYPE,30.584,30.596,30.648,1.25e-05,23609652.14,722077601.04976,263315420.07608,-9.8052e-05
10665436,2026-02-13T11:36:01.425697,HYPE,30.586,30.596,30.648,1.25e-05,23612063.96,722198588.28056,263773617.51594,-0.0003203033
10665627,2026-02-13T11:37:01.345315,HYPE,30.554,30.566,30.648,1.25e-05,23611481.22,721425197.19588,263800604.96936,-0.00028463
10665818,2026-02-13T11:38:02.044721,HYPE,30.503,30.516,30.648,1.25e-05,23607382.76,720095996.32828,263913270.14552,-0.0004587757
10666009,2026-02-13T11:39:01.264891,HYPE,30.503,30.512,30.648,1.25e-05,23607445.34,720097905.20602,263945542.16174,-0.0004981647
10666200,2026-02-13T11:40:01.221829,HYPE,30.437,30.453,30.648,1.25e-05,23617132.24,718834653.98888,264213106.44806,-0.0005122648
10666391,2026-02-13T11:41:01.992129,HYPE,30.45,30.462,30.648,1.25e-05,23615353.36,719087509.812,264248007.06298,-4.59589e-05
10666582,2026-02-13T11:42:01.254975,HYPE,30.488,30.501,30.648,1.25e-05,23614434.66,719956883.914081,264274712.34872,-0.0001508147
10666773,2026-02-13T11:43:01.627684,HYPE,30.529,30.54,30.648,1.25e-05,23615249.74,720949959.31246,264368338.80798,-0.0004191225
10666964,2026-02-13T11:44:01.357670,HYPE,30.537,30.548,30.648,1.25e-05,23614546.14,721117395.477181,264389869.9047,0.0006907162
10667155,2026-02-13T11:45:01.298057,HYPE,30.52,30.531,30.648,1.25e-05,23614327.66,720709280.1832,264441227.11729,-0.0001703187
10667346,2026-02-13T11:46:01.347747,HYPE,30.581,30.592,30.648,1.25e-05,23613157.34,722113964.61454,264490957.83679,-0.0003563023
10667537,2026-02-13T11:47:02.997856,HYPE,30.596,30.611,30.648,1.25e-05,23605466.64,722232857.31744,264764956.64704,-0.0005880239
10667728,2026-02-13T11:48:03.287796,HYPE,30.593,30.602,30.648,1.25e-05,23605406.84,722160211.45612,264773010.05779,-0.0001829946
10667919,2026-02-13T11:49:01.683869,HYPE,30.567,30.578,30.648,1.25e-05,23605551.42,721550890.25514,264832033.80829,-9.15691e-05
10668110,2026-02-13T11:50:01.321402,HYPE,30.581,30.591,30.779,1.25e-05,23605292.94,721873463.39814,263567407.22188,-9.8068e-06
10668301,2026-02-13T11:51:01.782172,HYPE,30.601,30.61,30.779,1.25e-05,23605068.44,722338699.33244,263573827.54513,-3.26691e-05
10668492,2026-02-13T11:52:01.824401,HYPE,30.625,30.634,30.779,1.25e-05,23604199.44,722878607.85,263589683.45113,-0.0004243651
10668683,2026-02-13T11:53:02.764622,HYPE,30.61,30.628,30.779,1.25e-05,23603422.78,722500771.2958,263625975.84463,-0.0008717513
10668874,2026-02-13T11:54:01.255808,HYPE,30.601,30.608,30.779,1.25e-05,23604309.44,722315473.17344,263657977.03363,-0.000519472
10669065,2026-02-13T11:55:01.218131,HYPE,30.56,30.571,30.779,1.25e-05,23604274.3,721346622.608,263660520.68188,-6.86926e-05
10669256,2026-02-13T11:56:01.817483,HYPE,30.542,30.554,30.779,1.25e-05,23603963.76,720912261.15792,263670199.24363,-0.000801859
10669447,2026-02-13T11:57:01.251405,HYPE,30.541,30.554,30.779,1.25e-05,23603702.96,720880692.10136,263676981.89863,0.0
10669638,2026-02-13T11:58:02.096417,HYPE,30.526,30.541,30.779,1.25e-05,23602783.28,720498562.40528,263700368.01688,-0.0005238859
10669829,2026-02-13T11:59:02.371888,HYPE,30.498,30.513,30.779,1.25e-05,23601410.26,719795810.10948,263742984.88513,-0.0003801658
10670020,2026-02-13T12:00:01.629550,HYPE,30.533,30.547,30.779,1.25e-05,23601255.76,720617142.12008,263747798.51406,-0.000238976
10670211,2026-02-13T12:01:02.750991,HYPE,30.523,30.535,30.779,1.25e-05,23601698.88,720394654.91424,263767112.90461,-0.0001932209
10670402,2026-02-13T12:02:01.763472,HYPE,30.499,30.508,30.779,1.25e-05,23601090.9,719809671.3591,263778318.57988,-0.0002458372
10670593,2026-02-13T12:03:02.700268,HYPE,30.523,30.537,30.779,1.25e-05,23600318.76,720352529.511481,263800598.30733,-0.0004257131
10670784,2026-02-13T12:04:02.641268,HYPE,30.518,30.529,30.779,1.25e-05,23600342.16,720235242.038881,263820972.09579,-0.0002948017
10670975,2026-02-13T12:05:04.267550,HYPE,30.549,30.561,31.185,1.25e-05,23600331.56,720966528.82644,257103323.93213,-0.0002454108
10671166,2026-02-13T12:06:04.461951,HYPE,30.552,30.564,31.185,1.25e-05,23600241.1,721034566.0872,257120782.16226,-0.0004973171
10671357,2026-02-13T12:07:01.797575,HYPE,30.55,30.561,31.185,1.25e-05,23600140.72,720984298.996,257125321.47922,-0.0001603351
10671548,2026-02-13T12:08:01.738924,HYPE,30.573,30.583,31.185,1.25e-05,23601543.42,721569986.97966,257179557.82705,-0.0001961874
10671739,2026-02-13T12:09:01.532998,HYPE,30.543,30.554,31.185,1.25e-05,23600995.04,720845191.50672,257200802.2824,-0.0003927473
10671930,2026-02-13T12:10:01.759456,HYPE,30.502,30.515,31.185,1.25e-05,23599915.94,719844636.00188,257261356.23316,-0.0008356546
10672121,2026-02-13T12:11:03.361673,HYPE,30.441,30.456,31.185,1.25e-05,23599535.54,718393461.37314,257284606.79542,-0.0007223536
10672312,2026-02-13T12:12:02.789580,HYPE,30.445,30.456,31.185,1.25e-05,23599151.98,718476182.0311,257307443.24884,7.22354e-05
10672503,2026-02-13T12:13:01.324587,HYPE,30.481,30.494,31.185,1.25e-05,23599229.88,719328125.972281,257332593.64229,-0.0004263134
10672694,2026-02-13T12:14:03.128946,HYPE,30.494,30.506,31.185,1.25e-05,23599053.76,719629545.35744,257356826.33879,-0.0003933652
10672885,2026-02-13T12:15:01.409233,HYPE,30.525,30.535,31.185,1.25e-05,23598919.86,720357028.7265,257368447.54435,-0.0001637465
10673076,2026-02-13T12:16:01.757740,HYPE,30.572,30.58,31.185,1.25e-05,23598959.02,721467375.15944,257391273.77236,-0.0003629823
10673267,2026-02-13T12:17:01.949778,HYPE,30.582,30.585,31.185,1.25e-05,23598411.76,721686628.44432,257421889.47472,0.0
10673458,2026-02-13T12:18:01.351181,HYPE,30.59,30.597,31.185,1.25e-05,23598391.16,721874785.5844,257457133.67877,-0.0002124391
10673649,2026-02-13T12:19:01.432530,HYPE,30.53,30.538,31.185,1.25e-05,23590545.06,720219340.681801,257797024.3315,0.0
10673840,2026-02-13T12:20:01.541129,HYPE,30.529,30.538,31.495,1.25e-05,23589920.74,720176690.27146,251399623.99629,-0.0007204139
10674031,2026-02-13T12:21:01.820627,HYPE,30.531,30.541,31.495,1.25e-05,23589030.94,720196703.62914,251474294.5721,-0.0005206116
10674222,2026-02-13T12:22:01.610790,HYPE,30.467,30.48,31.495,1.25e-05,23587736.52,718647568.55484,251532543.9041,-0.0004265092
10674413,2026-02-13T12:23:02.612632,HYPE,30.441,30.454,31.495,1.25e-05,23585878.56,717977729.24496,251602424.17452,-0.0003119459
10674604,2026-02-13T12:24:01.466875,HYPE,30.423,30.432,31.495,1.25e-05,23585719.2,717548335.2216,251614496.86757,-0.0003384595
10674795,2026-02-13T12:25:02.322913,HYPE,30.315,30.328,31.495,1.25e-05,23575380.76,714687667.7394,252345656.64829,-0.0002077288
10674986,2026-02-13T12:26:01.390664,HYPE,30.341,30.355,31.495,1.25e-05,23575453.26,715302827.36166,252374210.42199,-0.0004941525
10675177,2026-02-13T12:27:01.719940,HYPE,30.401,30.413,31.495,1.25e-05,23575307.96,716712937.29196,252403950.55263,-9.8642e-05
10675368,2026-02-13T12:28:02.027331,HYPE,30.433,30.445,31.495,1.25e-05,23575326.66,717467916.24378,252420298.52684,-0.000118246
10675559,2026-02-13T12:29:02.016037,HYPE,30.454,30.465,31.495,1.25e-05,23574573.44,717940059.54176,252458093.73413,-0.0002560315
10675750,2026-02-13T12:30:01.453325,HYPE,30.45,30.463,31.495,1.25e-05,23574750.22,717851144.199,252628479.12115,-0.0004891179
10675941,2026-02-13T12:31:01.540809,HYPE,30.352,30.366,31.495,1.25e-05,23577698.18,715630295.15936,253027062.92899,-0.0006059409
10676132,2026-02-13T12:32:02.355299,HYPE,30.254,30.27,31.495,1.25e-05,23576195.98,713274233.17892,253119167.29327,-0.0002808061
10676323,2026-02-13T12:33:01.445183,HYPE,30.224,30.241,31.495,1.25e-05,23576618.98,712579732.05152,253520642.67223,-0.0003703581
10676514,2026-02-13T12:34:01.752371,HYPE,30.219,30.235,31.495,1.25e-05,23575605.6,712431225.6264,253589580.67471,-0.0002943608
10676705,2026-02-13T12:35:02.161527,HYPE,30.22,30.236,31.648,1.25e-05,23574260.34,712414147.4748,247396764.44214,-0.0008632094
10676896,2026-02-13T12:36:02.851027,HYPE,30.232,30.253,31.648,1.25e-05,23574288.04,712697876.02528,247434694.3173,-0.0005982878
10677087,2026-02-13T12:37:01.366680,HYPE,30.199,30.216,31.648,1.25e-05,23573326.02,711890872.47798,247486670.44518,-0.0002151178
10677278,2026-02-13T12:38:01.598418,HYPE,30.197,30.216,31.648,1.25e-05,23570383.64,711754874.77708,247588988.46702,-0.000675139
10677469,2026-02-13T12:39:01.351851,HYPE,30.255,30.272,31.648,1.25e-05,23574431.84,713244435.3192,247923544.58514,-0.0002642706
10677660,2026-02-13T12:40:01.415618,HYPE,30.226,30.24,31.648,1.25e-05,23575132.14,712581944.06364,247974025.30374,-0.0001289683
10677851,2026-02-13T12:41:02.364652,HYPE,30.244,30.262,31.648,1.25e-05,23574701.64,712993276.40016,247983538.44486,-0.0005022801
10678042,2026-02-13T12:42:02.173677,HYPE,30.273,30.294,31.648,1.25e-05,23574780.62,713679333.70926,248003829.6753,-0.0001848551
