2025-11-22 16:27:06 | DEBUG | __main__ | Fetching individual symbol data...
2025-11-22 16:30:17 | INFO | __main__ | Initializing TWAP Tracker with All Coins Support
2025-11-22 16:30:17 | INFO | __main__ | All Coins Tracker enabled (excluding: [])
2025-11-22 16:30:17 | INFO | trader_metrics_manager | Loaded metrics for 158 traders
2025-11-22 16:30:17 | INFO | trader_metrics_manager | TraderMetricsManager initialized: light=6h, deep=24h
2025-11-22 16:30:17 | INFO | trader_metrics_manager | Filtering: 9 blacklisted, 12 whitelisted sub-$1 tokens
2025-11-22 16:30:17 | INFO | __main__ | Hyperliquid client and metrics manager initialized
2025-11-22 16:30:17 | INFO | __main__ | TWAP Tracker initialized
2025-11-22 16:30:17 | INFO | __main__ | Individual tracking: HYPE
2025-11-22 16:30:17 | INFO | __main__ | All coins tracking: enabled
2025-11-22 16:30:17 | INFO | __main__ | Starting TWAP tracking loop
2025-11-22 16:30:17 | INFO | __main__ | Base cycle: 10s
2025-11-22 16:30:17 | INFO | __main__ | Individual symbols fetch interval: 60s
2025-11-22 16:30:17 | INFO | __main__ | All coins fetch interval: 180s
2025-11-22 16:30:17 | DEBUG | __main__ | Loop cycle #1
2025-11-22 16:30:27 | DEBUG | __main__ | Loop cycle #2
2025-11-22 16:30:37 | DEBUG | __main__ | Loop cycle #3
2025-11-22 16:30:47 | DEBUG | __main__ | Loop cycle #4
2025-11-22 16:30:57 | DEBUG | __main__ | Loop cycle #5
2025-11-22 16:31:07 | DEBUG | __main__ | Loop cycle #6
2025-11-22 16:31:07 | DEBUG | __main__ | Fetching individual symbol data...
2025-11-22 16:31:10 | INFO | trader_metrics_manager | Registered 1184 new addresses
2025-11-22 16:31:14 | INFO | trader_metrics_manager | ✅ HYPE: Included - $9662.85 (price: $32.570500)
2025-11-22 16:31:17 | WARNING | __main__ | Cycle 6 took 10.6s, exceeded 10s target
2025-11-22 16:31:17 | DEBUG | __main__ | Loop cycle #7
2025-11-22 16:31:21 | INFO | trader_metrics_manager | ✅ HYPE: Included - $1376.53 (price: $32.568500)
2025-11-22 16:31:21 | INFO | trader_metrics_manager | ✅ UBTC: Included - $10.96 (price: $84350.500000)
2025-11-22 16:31:21 | INFO | trader_metrics_manager | ✅ UETH: Included - $19.22 (price: $2745.850000)
2025-11-22 16:31:27 | DEBUG | __main__ | Loop cycle #8
2025-11-22 16:31:31 | INFO | trader_metrics_manager | ✅ UBTC: Included - $535.26 (price: $84360.500000)
2025-11-22 16:31:37 | DEBUG | __main__ | Loop cycle #9
2025-11-22 16:31:41 | INFO | trader_metrics_manager | ✅ PURR: Included - $42.35 (price: $0.072329)
2025-11-22 16:31:41 | INFO | trader_metrics_manager | ✅ MANLET: Included - $1309.39 (price: $2.624950)
2025-11-22 16:31:41 | INFO | trader_metrics_manager | ✅ PUMP: Included - $118.83 (price: $0.002641)
2025-11-22 16:31:41 | INFO | trader_metrics_manager | ✅ RICH: Included - $39.53 (price: $1.318150)
2025-11-22 16:31:41 | INFO | trader_metrics_manager | ✅ RANK: Included - $1068.42 (price: $32.567000)
2025-11-22 16:31:47 | DEBUG | __main__ | Loop cycle #10
2025-11-22 16:31:51 | INFO | trader_metrics_manager | ✅ RAT: Included - $49.35 (price: $1.615000)
2025-11-22 16:31:57 | DEBUG | __main__ | Loop cycle #11
2025-11-22 16:32:07 | DEBUG | __main__ | Loop cycle #12
2025-11-22 16:32:07 | DEBUG | __main__ | Fetching individual symbol data...
2025-11-22 16:32:17 | DEBUG | __main__ | Loop cycle #13
2025-11-22 16:32:21 | INFO | trader_metrics_manager | ✅ HYPE: Included - $19958.46 (price: $32.606500)
2025-11-22 16:32:21 | INFO | trader_metrics_manager | ✅ UETH: Included - $11.36 (price: $2746.350000)
2025-11-22 16:32:27 | DEBUG | __main__ | Loop cycle #14
2025-11-22 16:32:31 | INFO | trader_metrics_manager | ✅ PURR: Included - $2175.80 (price: $0.072331)
2025-11-22 16:32:31 | INFO | trader_metrics_manager | ✅ HYPE: Included - $41860.37 (price: $32.571500)
2025-11-22 16:32:37 | DEBUG | __main__ | Loop cycle #15
2025-11-22 16:32:47 | DEBUG | __main__ | Loop cycle #16
2025-11-22 16:32:51 | INFO | trader_metrics_manager | ✅ USOL: Included - $1270.06 (price: $127.095000)
2025-11-22 16:32:57 | DEBUG | __main__ | Loop cycle #17
2025-11-22 16:33:00 | INFO | trader_metrics_manager | ✅ HYPE: Included - $529264.72 (price: $32.595500)
2025-11-22 16:33:00 | INFO | trader_metrics_manager | ✅ UBTC: Included - $42164.88 (price: $84363.500000)
2025-11-22 16:33:00 | INFO | trader_metrics_manager | ✅ UETH: Included - $397922.61 (price: $2745.250000)
2025-11-22 16:33:00 | INFO | trader_metrics_manager | ✅ USOL: Included - $63540.25 (price: $127.125000)
2025-11-22 16:33:00 | INFO | trader_metrics_manager | ✅ UPUMP: Included - $12129.81 (price: $0.002638)
2025-11-22 16:33:07 | DEBUG | __main__ | Loop cycle #18
2025-11-22 16:33:07 | DEBUG | __main__ | Fetching individual symbol data...
2025-11-22 16:33:10 | DEBUG | __main__ | Fetching ALL coins data via wildcard...
2025-11-22 16:33:10 | DEBUG | __main__ | Received data for 18 coins
2025-11-22 16:33:10 | INFO | trader_metrics_manager | Registered 14 new addresses
2025-11-22 16:33:14 | INFO | trader_metrics_manager | ✅ PURR: Included - $2596.88 (price: $0.072331)
2025-11-22 16:33:14 | INFO | trader_metrics_manager | ✅ HYPE: Included - $1380.09 (price: $32.616500)
2025-11-22 16:33:17 | DEBUG | __main__ | Loop cycle #19
2025-11-22 16:33:21 | INFO | trader_metrics_manager | ✅ HYPE: Included - $1658817.01 (price: $32.613000)
2025-11-22 16:33:21 | INFO | trader_metrics_manager | ✅ UBTC: Included - $746704.52 (price: $84398.500000)
2025-11-22 16:33:27 | DEBUG | __main__ | Loop cycle #20
2025-11-22 16:33:37 | DEBUG | __main__ | Loop cycle #21
2025-11-22 16:33:47 | DEBUG | __main__ | Loop cycle #22
2025-11-22 16:33:50 | INFO | trader_metrics_manager | ✅ HYPE: Included - $7234.97 (price: $32.607500)
2025-11-22 16:33:57 | DEBUG | __main__ | Loop cycle #23
2025-11-22 16:34:07 | DEBUG | __main__ | Loop cycle #24
2025-11-22 16:34:07 | DEBUG | __main__ | Fetching individual symbol data...
2025-11-22 16:34:10 | INFO | trader_metrics_manager | Registered 1 new addresses
2025-11-22 16:34:14 | INFO | trader_metrics_manager | ✅ UBTC: Included - $12295.68 (price: $84354.500000)
2025-11-22 16:34:17 | DEBUG | __main__ | Loop cycle #25
2025-11-22 16:34:20 | INFO | trader_metrics_manager | ✅ PURR: Included - $63.95 (price: $0.072341)
2025-11-22 16:34:27 | DEBUG | __main__ | Loop cycle #26
2025-11-22 16:34:31 | INFO | trader_metrics_manager | ✅ UBTC: Included - $413.16 (price: $84374.500000)
2025-11-22 16:34:37 | DEBUG | __main__ | Loop cycle #27
2025-11-22 16:34:40 | INFO | trader_metrics_manager | ✅ HYPE: Included - $615414.38 (price: $32.577000)
2025-11-22 16:34:47 | DEBUG | __main__ | Loop cycle #28
2025-11-22 16:34:57 | DEBUG | __main__ | Loop cycle #29
2025-11-22 16:35:00 | INFO | trader_metrics_manager | ✅ PURR: Included - $14.32 (price: $0.072342)
2025-11-22 16:35:00 | INFO | trader_metrics_manager | ✅ HYPE: Included - $554.66 (price: $32.616500)
2025-11-22 16:35:07 | DEBUG | __main__ | Loop cycle #30
2025-11-22 16:35:07 | DEBUG | __main__ | Fetching individual symbol data...
2025-11-22 16:35:17 | DEBUG | __main__ | Loop cycle #31
2025-11-22 16:35:21 | INFO | trader_metrics_manager | ✅ UETH: Included - $8.21 (price: $2745.150000)
2025-11-22 16:35:27 | DEBUG | __main__ | Loop cycle #32
2025-11-22 16:35:37 | DEBUG | __main__ | Loop cycle #33
2025-11-22 16:35:41 | INFO | trader_metrics_manager | ✅ UBTC: Included - $22.77 (price: $84393.500000)
2025-11-22 16:35:47 | DEBUG | __main__ | Loop cycle #34
2025-11-22 16:35:57 | DEBUG | __main__ | Loop cycle #35
2025-11-22 16:36:01 | INFO | trader_metrics_manager | ✅ HYPE: Included - $11511.21 (price: $32.550000)
2025-11-22 16:36:07 | DEBUG | __main__ | Loop cycle #36
2025-11-22 16:36:07 | DEBUG | __main__ | Fetching individual symbol data...
2025-11-22 16:36:10 | DEBUG | __main__ | Fetching ALL coins data via wildcard...
2025-11-22 16:36:11 | DEBUG | __main__ | Received data for 20 coins
2025-11-22 16:36:11 | INFO | trader_metrics_manager | Registered 2 new addresses
2025-11-22 16:36:14 | INFO | trader_metrics_manager | ✅ HYPE: Included - $16.58 (price: $32.524000)
2025-11-22 16:36:17 | WARNING | __main__ | Cycle 36 took 10.0s, exceeded 10s target
2025-11-22 16:36:18 | DEBUG | __main__ | Loop cycle #37
2025-11-22 16:36:21 | INFO | trader_metrics_manager | ✅ UBTC: Included - $5530.00 (price: $84371.500000)
2025-11-22 16:36:28 | DEBUG | __main__ | Loop cycle #38
2025-11-22 16:36:31 | INFO | trader_metrics_manager | ✅ HYPE: Included - $2475.52 (price: $32.501500)
2025-11-22 16:36:31 | INFO | trader_metrics_manager | ✅ UFART: Included - $398.69 (price: $0.182340)
2025-11-22 16:36:38 | DEBUG | __main__ | Loop cycle #39
2025-11-22 16:36:48 | DEBUG | __main__ | Loop cycle #40
2025-11-22 16:36:51 | INFO | trader_metrics_manager | ✅ HYPE: Included - $22878.09 (price: $32.442500)
2025-11-22 16:36:58 | DEBUG | __main__ | Loop cycle #41
2025-11-22 16:37:01 | INFO | trader_metrics_manager | ✅ UBTC: Included - $3390.89 (price: $84368.500000)
2025-11-22 16:37:08 | DEBUG | __main__ | Loop cycle #42
2025-11-22 16:37:08 | DEBUG | __main__ | Fetching individual symbol data...
2025-11-22 16:37:18 | DEBUG | __main__ | Loop cycle #43
2025-11-22 16:37:21 | INFO | trader_metrics_manager | ✅ HYPE: Included - $378036.41 (price: $32.490500)
2025-11-22 16:37:21 | INFO | trader_metrics_manager | ✅ UBTC: Included - $103905.03 (price: $84381.500000)
2025-11-22 16:37:28 | DEBUG | __main__ | Loop cycle #44
2025-11-22 16:37:38 | DEBUG | __main__ | Loop cycle #45
2025-11-22 16:37:48 | DEBUG | __main__ | Loop cycle #46
2025-11-22 16:37:51 | INFO | trader_metrics_manager | ✅ PURR: Included - $433898.73 (price: $0.072317)
2025-11-22 16:37:51 | INFO | trader_metrics_manager | ✅ HYPE: Included - $64.79 (price: $32.459500)
2025-11-22 16:37:51 | INFO | trader_metrics_manager | ✅ RAT: Included - $49.35 (price: $1.615000)
2025-11-22 16:37:58 | DEBUG | __main__ | Loop cycle #47
2025-11-22 16:38:08 | DEBUG | __main__ | Loop cycle #48
2025-11-22 16:38:08 | DEBUG | __main__ | Fetching individual symbol data...
2025-11-22 16:38:13 | INFO | trader_metrics_manager | ✅ UBTC: Included - $198.09 (price: $84352.500000)
2025-11-22 16:38:13 | INFO | trader_metrics_manager | ✅ UFART: Included - $130.96 (price: $0.182730)
2025-11-22 16:38:13 | INFO | trader_metrics_manager | ✅ UPUMP: Included - $145.06 (price: $0.002632)
2025-11-22 16:38:18 | DEBUG | __main__ | Loop cycle #49
2025-11-22 16:38:21 | INFO | trader_metrics_manager | ✅ UETH: Included - $5537537.69 (price: $2744.250000)
2025-11-22 16:38:21 | INFO | trader_metrics_manager | ✅ RAT: Included - $49.35 (price: $1.615000)
2025-11-22 16:38:28 | DEBUG | __main__ | Loop cycle #50
2025-11-22 16:38:38 | DEBUG | __main__ | Loop cycle #51
2025-11-22 16:38:41 | INFO | trader_metrics_manager | ✅ HYPE: Included - $228257.71 (price: $32.472000)
2025-11-22 16:38:48 | DEBUG | __main__ | Loop cycle #52
