class,hash,time,token,type,amount,from,to,px
PERP,0xf8a7f3e2af0a664efa21042fb1bebc02079c00c84a0d85219c709f356e0e4039,1763437883417,ETH-USD,Open Long,137.1359,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0xf62a9137e7bc41e4f7a4042fb1bebc020752010182bf60b799f33c8aa6b01bcf,1763437883417,ETH-USD,Open Long,148.3711,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x4787ab0d4b6d2e8d4901042fb1bebc02075200f2e6604d5feb5056600a610877,1763437883417,ETH-USD,Open Long,15.0547,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x94b4347231dbec11962d042fb1bebc0207510057ccdf0ae3387cdfc4f0dfc5fc,1763437883417,ETH-USD,Open Long,1.653,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0xc9665a05cb96e222cae0042fb1bebc02074d00eb669a00f46d2f05588a9abc0d,1763437883417,ETH-USD,Open Long,0.0165,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x63bf6ccf98745d2b6539042fb1bebc02074b00b533777bfd0788182257783716,1763437883417,ETH-USD,Open Long,0.2372,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x21fa135518f1fc192373042fb1beba02081d003ab3f51aebc5c2bea7d7f5d603,1763437883211,ETH-USD,Open Long,159.5978,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0xa3d8c24d992bafaea552042fb1beba0208180033342ece8047a16da0582f8999,1763437883211,ETH-USD,Open Long,0.0165,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0xf1054bb27f9a6d32f27f042fb1beba02081700981a9d8c0594cdf7053e9e471d,1763437883211,ETH-USD,Open Long,0.0165,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x3e31d51766092ab73fab042fb1beba02081600fd010c4989e1fa806a250d04a1,1763437883211,ETH-USD,Open Long,0.0165,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x8b5e5e7c4c77e83b8cd8042fb1beba0208150061e77b070d2f2709cf0b7bc226,1763437883211,ETH-USD,Open Long,66.1146,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x25b77146195563442731042fb1beba020813002bb4588216c9801c98d8593d2e,1763437883211,ETH-USD,Open Long,77.0986,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0xc010840fe632de4cc18a042fb1beba02081100f58135fd1e63d92f62a536b837,1763437883211,ETH-USD,Open Long,110.0272,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x0d3d0d74cca19bd10eb6042fb1beba020810005a67a4baa3b105b8c78ba575bb,1763437883211,ETH-USD,Open Long,33.1656,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0xf4c2a9a37ffdd45df63c042fb1beba02080d00891af0f330988b54f63ef1ae48,1763437883211,ETH-USD,Open Long,76.3152,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x54a208bd684d95b9561b042fb1beba0207da00a30340b48bf86ab41027416fa3,1763437883211,ETH-USD,Open Long,0.0661,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0xeefb1b87352b10c1f074042fb1beba0207d8006cd02e2f9392c3c6d9f42eeaac,1763437883211,ETH-USD,Open Long,14.2727,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0xd680b7b5e877494ed7fa042fb1beba0207d5009b837a68207a496308a77b2339,1763437883211,ETH-USD,Open Long,32.3466,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x8d118c42026bf2f58e8b042fb1beba0207cc00279d6f11c730da3794c16fcce0,1763437883211,ETH-USD,Open Long,6.6,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0xa9494e044f732193aac3042fb1beba0207c500e9ea7640654d11f9570e76fb7e,1763437883211,ETH-USD,Open Long,0.0165,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x05d9665c28c3d16b0753042fb1beb90212e70041c3c6f03da9a211aee7c7ab55,1763437883086,ETH-USD,Open Long,32.6455,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0x3a8b8befc28ec77c3c05042fb1beb90212e300d55d81e64ede5437428182a166,1763437883086,ETH-USD,Open Long,31.7065,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
PERP,0xd4e49eb98f6c4284d65e042fb1beb90212e1009f2a6f615678ad4a0c4e601c6f,1763437883086,ETH-USD,Open Long,0.0165,0xffffffffffffffffffffffffffffffffffffffff,0xe7ec7fbf4f195fc8e57d814e15c3a2857cb632a3,3025
